threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
0.1,0.45588235294117646,1.0,0.6262626262626263,53,37,0,31
0.15,0.4838709677419355,0.967741935483871,0.6451612903225806,58,32,1,30
0.2,0.5,0.9032258064516129,0.6436781609195402,62,28,3,28
0.25,0.54,0.8709677419354839,0.6666666666666666,67,23,4,27
0.3,0.5416666666666666,0.8387096774193549,0.6582278481012658,68,22,5,26
0.35,0.5813953488372093,0.8064516129032258,0.6756756756756757,72,18,6,25
0.4,0.5897435897435898,0.7419354838709677,0.6571428571428571,74,16,8,23
0.45,0.6111111111111112,0.7096774193548387,0.6567164179104478,76,14,9,22
0.5,0.7096774193548387,0.7096774193548387,0.7096774193548387,81,9,9,22
0.55,0.7142857142857143,0.6451612903225806,0.6779661016949152,82,8,11,20
0.6,0.8,0.6451612903225806,0.7142857142857143,85,5,11,20
0.65,0.8181818181818182,0.5806451612903226,0.6792452830188679,86,4,13,18
0.7,0.9444444444444444,0.5483870967741935,0.6938775510204082,89,1,14,17
0.75,0.9411764705882353,0.5161290322580645,0.6666666666666666,89,1,15,16
0.8,0.9375,0.4838709677419355,0.6382978723404256,89,1,16,15
0.85,1.0,0.3225806451612903,0.4878048780487805,90,0,21,10
0.9,1.0,0.2903225806451613,0.45,90,0,22,9
