threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive
0.1,0.41333333333333333,1.0,0.5849056603773585,46,44,0,31
0.15,0.4696969696969697,1.0,0.6391752577319587,55,35,0,31
0.2,0.5166666666666667,1.0,0.6813186813186813,61,29,0,31
0.25,0.5370370370370371,0.9354838709677419,0.6823529411764706,65,25,2,29
0.3,0.58,0.9354838709677419,0.7160493827160493,69,21,2,29
0.35,0.5777777777777777,0.8387096774193549,0.6842105263157895,71,19,5,26
0.4,0.6341463414634146,0.8387096774193549,0.7222222222222222,75,15,5,26
0.45,0.6857142857142857,0.7741935483870968,0.7272727272727273,79,11,7,24
0.5,0.696969696969697,0.7419354838709677,0.71875,80,10,8,23
0.55,0.84,0.6774193548387096,0.75,86,4,10,21
0.6,0.95,0.6129032258064516,0.7450980392156863,89,1,12,19
0.65,0.9411764705882353,0.5161290322580645,0.6666666666666666,89,1,15,16
0.7,1.0,0.5161290322580645,0.6808510638297872,90,0,15,16
0.75,1.0,0.5161290322580645,0.6808510638297872,90,0,15,16
0.8,1.0,0.45161290322580644,0.6222222222222222,90,0,17,14
0.85,1.0,0.45161290322580644,0.6222222222222222,90,0,17,14
0.9,1.0,0.3870967741935484,0.5581395348837209,90,0,19,12
